gain,delay,p_mix,phase,phase_code,max_acceleration,max_velocity,final_variance
1.06,1,0.4,RECOVERABLE,1,0.010044,0.006641,0.022877
1.08,1,0.4,IRRECOVERABLE,3,0.032909,0.021043,0.116321
1.0,2,0.4,RECOVERABLE,1,0.007494,0.005716,0.009026
1.02,2,0.4,RECOVERABLE,1,0.011666,0.006873,0.018446
1.04,2,0.4,IRRECOVERABLE,3,0.026946,0.017054,0.096724
1.06,2,0.4,IRRECOVERABLE,3,0.215667,0.108441,0.817766
1.08,2,0.4,IRRECOVERABLE,3,1.962967,1.09586,7.394823
1.0,3,0.4,RECOVERABLE,1,0.007721,0.005716,0.007214
1.02,3,0.4,RECOVERABLE,1,0.014313,0.008305,0.03947
1.04,3,0.4,IRRECOVERABLE,3,0.035547,0.025806,0.298657
1.06,3,0.4,IRRECOVERABLE,3,0.128739,0.27591,2.49803
1.08,3,0.4,IRRECOVERABLE,3,0.727635,3.055072,21.388993
1.0,4,0.4,RECOVERABLE,1,0.011357,0.006128,0.016082
1.02,4,0.4,IRRECOVERABLE,3,0.018458,0.011281,0.059374
1.04,4,0.4,IRRECOVERABLE,3,0.048962,0.044255,0.36877
1.06,4,0.4,IRRECOVERABLE,3,0.358856,0.343522,2.99789
1.08,4,0.4,IRRECOVERABLE,3,2.986284,3.811169,26.446529
1.0,5,0.4,RECOVERABLE,1,0.00618,0.005716,0.016333
1.02,5,0.4,RECOVERABLE,1,0.010063,0.009864,0.065534
1.04,5,0.4,IRRECOVERABLE,3,0.029538,0.045254,0.440229
1.06,5,0.4,IRRECOVERABLE,3,0.163065,0.384255,3.679385
1.08,5,0.4,IRRECOVERABLE,3,1.087965,4.574441,32.513505
1.0,6,0.4,RECOVERABLE,1,0.009534,0.007901,0.023286
1.02,6,0.4,IRRECOVERABLE,3,0.027715,0.013619,0.075348
1.04,6,0.4,IRRECOVERABLE,3,0.110221,0.04567,0.449353
1.06,6,0.4,IRRECOVERABLE,3,0.52949,0.426881,3.638451
1.08,6,0.4,IRRECOVERABLE,3,2.805317,4.583901,31.628511
1.0,7,0.4,RECOVERABLE,1,0.010521,0.009266,0.020887
1.02,7,0.4,IRRECOVERABLE,3,0.032797,0.017023,0.102512
1.04,7,0.4,IRRECOVERABLE,3,0.142326,0.06589,0.743585
1.06,7,0.4,IRRECOVERABLE,3,0.802422,0.649176,6.208449
1.08,7,0.4,IRRECOVERABLE,3,6.368236,7.536461,53.48806
1.0,8,0.4,RECOVERABLE,1,0.007586,0.005716,0.015045
1.02,8,0.4,IRRECOVERABLE,3,0.027356,0.011674,0.06076
1.04,8,0.4,IRRECOVERABLE,3,0.099614,0.0492,0.509444
1.06,8,0.4,IRRECOVERABLE,3,0.544819,0.53122,4.836765
1.08,8,0.4,IRRECOVERABLE,3,4.081888,6.412699,44.910752
1.0,9,0.4,RECOVERABLE,1,0.008969,0.007958,0.030075
1.02,9,0.4,IRRECOVERABLE,3,0.019316,0.022485,0.164071
1.04,9,0.4,IRRECOVERABLE,3,0.14009,0.123049,1.260393
1.06,9,0.4,IRRECOVERABLE,3,1.150027,1.214256,10.888704
1.08,9,0.4,IRRECOVERABLE,3,9.198076,13.725886,95.83044
1.0,10,0.4,RECOVERABLE,1,0.011599,0.009553,0.038784
1.02,10,0.4,IRRECOVERABLE,3,0.031546,0.022862,0.182955
1.04,10,0.4,IRRECOVERABLE,3,0.127983,0.137799,1.3406
1.06,10,0.4,IRRECOVERABLE,3,0.705556,1.371847,11.56896
1.08,10,0.4,IRRECOVERABLE,3,4.466584,14.957477,102.901959
1.0,0,0.45,RECOVERABLE,1,0.002949,0.004732,0.00418
1.02,0,0.45,RECOVERABLE,1,0.003478,0.005323,0.005048
