gain,delay,p_mix,phase,phase_code,max_jerk,min_jerk,jerk_span,mean_abs_jerk,final_variance
1.08,8,0.35,IRRECOVERABLE,3,7.147573,-3.486654,10.634227,0.538293,44.910752
1.0,9,0.35,RECOVERABLE,1,0.015639,-0.015832,0.031471,0.005756,0.030028
1.02,9,0.35,IRRECOVERABLE,3,0.050837,-0.04282,0.093657,0.010749,0.17485
1.04,9,0.35,IRRECOVERABLE,3,0.260982,-0.177782,0.438764,0.029076,1.413119
1.06,9,0.35,IRRECOVERABLE,3,1.777764,-1.044918,2.822682,0.11903,12.478966
1.08,9,0.35,IRRECOVERABLE,3,13.245283,-7.257078,20.502361,0.651852,110.68859
1.0,10,0.35,RECOVERABLE,1,0.019656,-0.014278,0.033934,0.006151,0.039755
1.02,10,0.35,IRRECOVERABLE,3,0.062134,-0.032737,0.094871,0.011106,0.197159
1.04,10,0.35,IRRECOVERABLE,3,0.294271,-0.149723,0.443994,0.027331,1.496675
1.06,10,0.35,IRRECOVERABLE,3,1.737567,-0.898564,2.636131,0.097837,13.121983
1.08,10,0.35,IRRECOVERABLE,3,10.969115,-5.764035,16.73315,0.470945,117.543917
1.0,0,0.4,RECOVERABLE,1,0.007717,-0.007281,0.014998,0.002294,0.003997
1.02,0,0.4,RECOVERABLE,1,0.007879,-0.00752,0.015399,0.002782,0.005072
1.04,0,0.4,RECOVERABLE,1,0.009542,-0.009346,0.018888,0.003694,0.008246
1.06,0,0.4,RECOVERABLE,1,0.018927,-0.020393,0.03932,0.005996,0.022877
1.08,0,0.4,IRRECOVERABLE,3,0.056845,-0.064025,0.12087,0.014144,0.116321
1.0,1,0.4,RECOVERABLE,1,0.007717,-0.007281,0.014998,0.002294,0.003997
1.02,1,0.4,RECOVERABLE,1,0.007879,-0.00752,0.015399,0.002782,0.005072
1.04,1,0.4,RECOVERABLE,1,0.009542,-0.009346,0.018888,0.003694,0.008246
1.06,1,0.4,RECOVERABLE,1,0.018927,-0.020393,0.03932,0.005996,0.022877
1.08,1,0.4,IRRECOVERABLE,3,0.056845,-0.064025,0.12087,0.014144,0.116321
1.0,2,0.4,RECOVERABLE,1,0.017698,-0.013259,0.030957,0.004217,0.009026
1.02,2,0.4,RECOVERABLE,1,0.018663,-0.019459,0.038122,0.005982,0.018446
1.04,2,0.4,IRRECOVERABLE,3,0.054185,-0.058395,0.112581,0.013399,0.096724
1.06,2,0.4,IRRECOVERABLE,3,0.402309,-0.300977,0.703286,0.055885,0.817766
1.08,2,0.4,IRRECOVERABLE,3,3.818443,-2.552994,6.371437,0.337074,7.394823
1.0,3,0.4,RECOVERABLE,1,0.016784,-0.014594,0.031378,0.005205,0.007214
1.02,3,0.4,RECOVERABLE,1,0.030146,-0.021085,0.051231,0.008025,0.03947
1.04,3,0.4,IRRECOVERABLE,3,0.060432,-0.044246,0.104678,0.016477,0.298657
1.06,3,0.4,IRRECOVERABLE,3,0.230487,-0.128203,0.358691,0.048717,2.49803
1.08,3,0.4,IRRECOVERABLE,3,0.956999,-0.792829,1.749828,0.200875,21.388993
1.0,4,0.4,RECOVERABLE,1,0.018289,-0.015179,0.033467,0.004711,0.016082
1.02,4,0.4,IRRECOVERABLE,3,0.030369,-0.023091,0.05346,0.008996,0.059374
1.04,4,0.4,IRRECOVERABLE,3,0.110786,-0.081109,0.191896,0.02366,0.36877
1.06,4,0.4,IRRECOVERABLE,3,0.737791,-0.454899,1.192691,0.088332,2.99789
1.08,4,0.4,IRRECOVERABLE,3,5.718771,-3.214867,8.933637,0.443011,26.446529
1.0,5,0.4,RECOVERABLE,1,0.014129,-0.01124,0.025369,0.004382,0.016333
1.02,5,0.4,RECOVERABLE,1,0.01953,-0.020225,0.039755,0.007478,0.065534
1.04,5,0.4,IRRECOVERABLE,3,0.074156,-0.061691,0.135847,0.017646,0.440229
1.06,5,0.4,IRRECOVERABLE,3,0.370949,-0.25126,0.622209,0.055299,3.679385
1.08,5,0.4,IRRECOVERABLE,3,2.099336,-1.241919,3.341255,0.218952,32.513505
1.0,6,0.4,RECOVERABLE,1,0.016496,-0.013812,0.030308,0.004758,0.023286
1.02,6,0.4,IRRECOVERABLE,3,0.04557,-0.025272,0.070842,0.009582,0.075348
1.04,6,0.4,IRRECOVERABLE,3,0.201222,-0.104062,0.305284,0.026503,0.449353
1.06,6,0.4,IRRECOVERABLE,3,1.028817,-0.500659,1.529477,0.097479,3.638451
1.08,6,0.4,IRRECOVERABLE,3,5.568065,-2.875272,8.443336,0.446974,31.628511
1.0,7,0.4,RECOVERABLE,1,0.021898,-0.016467,0.038365,0.007009,0.020887
1.02,7,0.4,IRRECOVERABLE,3,0.053331,-0.039036,0.092366,0.013443,0.102512
1.04,7,0.4,IRRECOVERABLE,3,0.256798,-0.123926,0.380724,0.037685,0.743585
1.06,7,0.4,IRRECOVERABLE,3,1.492719,-0.738575,2.231294,0.158513,6.208449
1.08,7,0.4,IRRECOVERABLE,3,11.830031,-6.11092,17.940951,0.857289,53.48806
1.0,8,0.4,RECOVERABLE,1,0.013422,-0.012198,0.02562,0.004773,0.015045
1.02,8,0.4,IRRECOVERABLE,3,0.044973,-0.03133,0.076304,0.009658,0.06076
1.04,8,0.4,IRRECOVERABLE,3,0.180929,-0.108401,0.289331,0.027349,0.509444
1.06,8,0.4,IRRECOVERABLE,3,0.968526,-0.506992,1.475518,0.106926,4.836765
1.08,8,0.4,IRRECOVERABLE,3,7.147573,-3.486654,10.634227,0.538293,44.910752
1.0,9,0.4,RECOVERABLE,1,0.015378,-0.01595,0.031328,0.005495,0.030075
1.02,9,0.4,IRRECOVERABLE,3,0.0561,-0.046039,0.102139,0.010317,0.164071
1.04,9,0.4,IRRECOVERABLE,3,0.332443,-0.216303,0.548747,0.029173,1.260393
1.06,9,0.4,IRRECOVERABLE,3,2.400361,-1.380838,3.7812,0.130244,10.888704
1.08,9,0.4,IRRECOVERABLE,3,17.974027,-9.863554,27.837581,0.764666,95.83044
1.0,10,0.4,RECOVERABLE,1,0.01917,-0.014539,0.033709,0.006228,0.038784
1.02,10,0.4,IRRECOVERABLE,3,0.055094,-0.030947,0.086041,0.011164,0.182955
1.04,10,0.4,IRRECOVERABLE,3,0.236714,-0.120632,0.357347,0.027046,1.3406
1.06,10,0.4,IRRECOVERABLE,3,1.328108,-0.684061,2.012169,0.092906,11.56896
1.08,10,0.4,IRRECOVERABLE,3,8.224988,-4.297092,12.52208,0.421598,102.901959
1.0,0,0.45,RECOVERABLE,1,0.007717,-0.007281,0.014998,0.002009,0.00418
1.02,0,0.45,RECOVERABLE,1,0.007879,-0.00752,0.015399,0.002273,0.005048
1.04,0,0.45,RECOVERABLE,1,0.008038,-0.007733,0.015771,0.002716,0.006982
1.06,0,0.45,RECOVERABLE,1,0.011315,-0.012992,0.024307,0.003623,0.013297
1.08,0,0.45,IRRECOVERABLE,3,0.022979,-0.030261,0.05324,0.006093,0.043361
1.0,1,0.45,RECOVERABLE,1,0.007717,-0.007281,0.014998,0.002009,0.00418
1.02,1,0.45,RECOVERABLE,1,0.007879,-0.00752,0.015399,0.002273,0.005048
1.04,1,0.45,RECOVERABLE,1,0.008038,-0.007733,0.015771,0.002716,0.006982
1.06,1,0.45,RECOVERABLE,1,0.011315,-0.012992,0.024307,0.003623,0.013297
1.08,1,0.45,IRRECOVERABLE,3,0.022979,-0.030261,0.05324,0.006093,0.043361
